sentence,abstract_abstract,abstract_concrete,abstract_ignorance,policy_not policy,policy_policy,dynamics_not dynamics,dynamics_dynamics,valence_neutral,valence_winning,valence_losing
,-inf,-inf,-inf,-0.035059694,-inf,-1.230752,-inf,-0.6804098,-inf,-inf
Don't touch the light blue squares because that will cost you a life.,-8.704797,-0.00019340808,-10.831084,-6.4672947,-0.0015600931,-8.010485,-0.0003339162,-12.478844,-inf,-7.465036e-06
Wait until they are a different blue,-1.3484541,-5.999186,-0.3045794,-0.14195457,-2.0226634,-0.00014632997,-8.905019,-0.00014454192,-9.390841,-10.555029
Try white first.,-6.989132,-0.0037324992,-5.9182777,-0.12860028,-2.11494,-0.0036528143,-5.624041,-0.0008042683,-7.214412,-inf
Yellow to end,-inf,-6.880112,-0.0020029845,-0.0026154902,-5.9595933,-0.7486462,-0.64091915,-0.07260152,-2.6607153,-inf
No idea what to do,-inf,-inf,-2.749125e-05,-1.0280384e-06,-inf,-2.8160932e-06,-inf,-0.00045617513,-inf,-8.077393
Finish on the green square.,-9.028059,-0.00025394888,-9.043823,-0.49790826,-0.93614066,-4.8371005,-0.007966328,-2.3897438,-0.09615316,-inf
Erase the blue squares first.,-6.280795,-0.0019653896,-9.575809,-5.864457,-0.0028543286,-1.3268976,-0.30832767,-0.82201225,-0.5792716,-inf
Avoid the other colours,-5.0902605,-0.014233797,-4.8515673,-6.0692644,-0.0023240333,-0.012397567,-4.398554,-0.0069037443,-7.470422,-5.077178
Push the green blocks around to destroy other colours bu be careful not to push them where they block your path otherwise you will not be able to complete the level,-0.0080029955,-5.0962157,-inf,-9.865918,-7.564953e-05,-4.9487586,-0.0071255886,-0.77325916,-3.768075,-0.6632471
touching the yellows loses a life,-7.982617,-0.00081856165,-7.844538,-1.7178974,-0.19781299,-4.954567,-0.0070821447,-7.185239,-inf,-0.0007811574
some colours destroy other colours so keep pushing them around until all are gone,-0.0003827677,-8.026483,-inf,-5.745426,-0.0032137225,-0.747128,-0.6419778,-1.8427019,-0.17283532,-8.2163515
the yellows are portals that allow you to jump places,-0.4851574,-0.9568447,-8.533337,-0.1983119,-1.7158939,-6.4387746,-0.0016066285,-0.12624854,-2.1330178,-inf
the purples erase the light blues,-8.396263,-0.0007550701,-7.8469806,-0.040989578,-3.215657,-4.7775292,-0.008461271,-0.038596198,-3.2914343,-7.596196
Hitting dark blue blocks makes other blocks dark blue.,-6.4974813,-0.0018471284,-8.067227,-0.035226237,-3.3642402,-7.185687,-0.00076376466,-0.26488864,-5.0786667,-1.486101
If all the blocks turn blue you seem to lose.,-4.6150684,-0.02122312,-4.5104427,-0.00017255111,-8.727359,-3.5121436,-0.030293968,-7.3756423,-inf,-0.00065584684
You seem to win if you get all of the white blocks first then the yellow blocks.,-0.46184546,-3.1112957,-1.1290874,-0.0071245227,-4.9518456,-0.9036816,-0.5193775,-8.48556,-0.00021807956,-inf
You can lose sometimes on green blocks.,-1.0560815,-4.2143707,-0.4511335,-0.033701718,-3.4075992,-0.08712434,-2.483849,-3.1478648,-inf,-0.043969665
I think it is good to avoid green blocks as much as possible while picking up the white blocks.,-0.00010223195,-inf,-9.739783,-4.5417967,-0.010725902,-0.11969073,-2.1824367,-0.32022703,-1.2956165,-9.118055
You seem to need to eliminate all of the moving blocks.,-0.23644914,-4.7014894,-1.603814,-0.0046177455,-5.386589,-2.2987971,-0.10580207,-0.6042208,-0.7919859,-7.679193
There are two ways to do this.,-0.1523809,-9.413503,-1.9584417,-8.613945e-05,-9.689251,-7.326546e-05,-9.7567625,-4.1080468e-05,-11.246333,-inf
1) You can fire at them using the space key.,-6.502363,-0.0024317862,-7.0787983,-3.2545526,-0.039424773,-3.2757049,-0.03855846,-0.5774254,-0.8252987,-7.9172597
2) If a moving block hits one of the stationary ones it changes the colour of the stationary one then you eliminate it by moving over it and changing the colour back.,-3.1564977,-0.05414175,-inf,-0.73324823,-0.6546693,-5.0392094,-0.00650789,-0.06946669,-2.8713064,-4.582259
It seems important to keep doing (2) as if all the stationary blocks change colour you lose.,-0.1999188,-6.258402,-1.7277527,-0.15633406,-1.9334337,-0.4205216,-1.0692662,-2.1802466,-5.3352895,-0.1255973
