sentence,abstract_abstract,abstract_concrete,abstract_ignorance,policy_not policy,policy_policy,dynamics_not dynamics,dynamics_dynamics,valence_neutral,valence_winning,valence_losing,abstract_tag,policy_tag,dynamics_tag,valence_tag
,-inf,-inf,-inf,-0.115664124,-inf,-inf,-inf,-3.2266693,-inf,-inf,"concrete, simple, low-level information","not policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances","losing, including information about death, losing points, lowering scores, forfeiting, losing lives, getting stuck or trapped"
"Use the green to shield yourself, don't try to capture the pink or the orange directly but put the green in front for them to capture them instead.",-0.00097423256,-8.235123,-inf,-9.143959,-0.00011629798,-5.095375,-0.006153108,-1.3066759,-0.31623742,-inf,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances",neutral information
"Move out of the way of the white squares quickly to avoid loosing a life, get through the gap and then capture the other colours.",-0.0017740693,-7.4259586,-inf,-7.001943,-0.00092086964,-0.01841611,-4.0053926,-6.3602853,-7.965298,-0.0021597797,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances","winning, including mentions of scoring points, victory, success, goals, solutions, best strategies"
Use the lighter blue square as a shield to take the white ones.,-0.07437576,-2.640786,-inf,-5.5370617,-0.0039694053,-3.7457294,-0.023910431,-1.7787975,-0.18499795,-inf,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances",neutral information
Leave the grey ones alone as they do not move and also leave the orange ones.,-5.2682657,-0.005395019,-8.5550375,-5.5050316,-0.004081605,-0.06947424,-2.7017164,-0.00134297,-6.6926994,-10.1532135,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances",neutral information
"Don't touch the green square or you loose a life, avoid the moving squares and go for the orange square to win.",-1.1191791,-0.40821874,-5.1008916,-7.490994,-0.000565065,-0.88656694,-0.5311726,-9.031186,-inf,-0.0001558626,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances","losing, including information about death, losing points, lowering scores, forfeiting, losing lives, getting stuck or trapped"
Don't let the sky blue square get caught by the green squares.,-3.5358663,-0.030025968,-7.8783116,-5.978636,-0.0025443933,-4.7231207,-0.008933037,-0.25817242,-7.411962,-1.483684,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances",neutral information
Try to capture the green squares and keep them white.,-3.030595,-0.0495274,-inf,-4.4425144,-0.011848516,-0.16518654,-1.8823305,-0.20854563,-1.6703987,-inf,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances",neutral information
You are OK to capture the white and green squares but when you go to the long green rectangle and touch this you loose a life so somehow you need to get past it without touching it directly so maybe try the green square being captured first and then the white one.,-0.04720491,-inf,-3.1833706,-1.3158386,-0.31240728,-0.0389228,-3.2662635,-2.803089,-8.88237,-0.06278584,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances","winning, including mentions of scoring points, victory, success, goals, solutions, best strategies"
Avoid the yellow and brown squares and try to collect all the green bits without touching the brown ones to capture the purple coloured brick.,-0.009917103,-6.5200796,-inf,-4.4793477,-0.0114197275,-1.2017307,-0.35766032,-0.7474314,-0.74123824,-3.000794,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances",neutral information
You must not let the darker blue touch the sky blue and you must make sure that the purple square does not join the L shape.,-0.0024043124,-6.6078024,-inf,-0.9108778,-0.5145079,-0.7121307,-0.67458075,-0.7568921,-3.397111,-0.6988858,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances","losing, including information about death, losing points, lowering scores, forfeiting, losing lives, getting stuck or trapped"
Go in between the 2 purple shapes and move the shape to the right and then move it as a shield down onto the sky blue and then keep using the other purple ones to get rid of the other sky blue squares to capture the brown.,-0.046774533,-inf,-4.6015687,-0.8580617,-0.5517968,-0.0025817242,-5.9669447,-2.301793,-0.105532646,-inf,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances",neutral information
Think well ahead of your next moves because the green will get stuck in places and won't let you move past in certain tight spots.,-0.00019495773,-inf,-9.721159,-6.2973156,-0.0018558193,-0.020101976,-3.9182572,-0.038483214,-5.359238,-3.414063,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances",neutral information
Avoid the orange as it will cost you a life!,-8.611581,-0.00019769941,-11.705632,-6.9033127,-0.0010128032,-6.583134,-0.0013869047,-8.507949,-inf,-0.00021688752,"concrete, simple, low-level information","policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances","losing, including information about death, losing points, lowering scores, forfeiting, losing lives, getting stuck or trapped"
Leave the grey ones alone as they do not move.,-8.713071,-0.00023381444,-9.739253,-5.2072573,-0.0054997187,-0.61341786,-0.77983785,-0.00017660404,-8.735658,-inf,"concrete, simple, low-level information","policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances",neutral information
"If there aren't any white ones present, push the lighter blue square against the orange or other color until it turns white.",-0.19430237,-1.7547367,-inf,-8.650156,-0.00018137218,-5.6804233,-0.0034212857,-0.75228786,-0.63769436,-inf,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances",neutral information
"Place the square on one side and go around to the other and push it in the other direction with your original ""blue"" player until it turns white.",-0.427068,-1.3209641,-inf,-5.770681,-0.0031430162,-0.8763252,-0.5384212,-0.4093881,-1.0912232,-inf,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances",neutral information
Then collect it with the lighter blue.,-7.1756597,-0.0012954774,-7.970753,-0.42156792,-1.0672646,-0.011908469,-4.438567,-0.012404284,-4.400489,-inf,"concrete, simple, low-level information","policy, or what actions to take including strategies or instructions","not dynamics, or how the world works including explanations or affordances",neutral information
"Use the other colors, like the light blue to teleport to different areas.",-0.014328272,-4.275538,-inf,-3.689816,-0.025316656,-4.0504093,-0.017576044,-0.21449594,-1.6456177,-inf,"abstract, complex, high-level information","policy, or what actions to take including strategies or instructions","dynamics, or how the world works including explanations or affordances",neutral information
